time,lats,lons,hurs
04/28/2008,-87.75,38.75,100.0
04/28/2008,-87.75,39.25,100.0
04/28/2008,-87.75,39.75,100.0
04/28/2008,-87.75,40.25,100.0
04/28/2008,-87.75,40.75,100.0
04/28/2008,-87.75,41.25,100.0
04/28/2008,-87.75,41.75,100.0
04/29/2008,-84.75,37.75,89.40586
04/29/2008,-84.75,38.25,89.73269
04/29/2008,-84.75,38.75,90.430504
04/29/2008,-84.75,39.25,90.736565
04/29/2008,-84.75,39.75,90.97899
04/29/2008,-84.75,40.25,91.191734
04/29/2008,-84.75,40.75,91.28658
04/29/2008,-84.75,41.25,91.19598
04/29/2008,-84.75,41.75,91.52099
04/29/2008,-85.25,37.75,90.18245
04/29/2008,-85.25,38.25,90.346176
04/29/2008,-85.25,38.75,90.7644
04/29/2008,-85.25,39.25,90.742424
04/29/2008,-85.25,39.75,90.67559
04/29/2008,-85.25,40.25,90.66441
04/29/2008,-85.25,40.75,90.83609
04/29/2008,-85.25,41.25,91.01987
04/29/2008,-85.25,41.75,91.141716
04/29/2008,-85.75,37.75,80.35971
04/29/2008,-85.75,38.25,80.59778
04/29/2008,-85.75,38.75,81.31071
04/29/2008,-85.75,39.25,81.141335
04/29/2008,-85.75,39.75,80.82273
04/29/2008,-85.75,40.25,80.434074
04/29/2008,-85.75,40.75,79.983315
04/29/2008,-85.75,41.25,79.24742
04/29/2008,-85.75,41.75,78.37792
04/29/2008,-86.25,37.75,69.8854
04/29/2008,-86.25,38.25,69.514404
04/29/2008,-86.25,38.75,68.79388
04/29/2008,-86.25,39.25,68.02113
04/29/2008,-86.25,39.75,67.70156
04/29/2008,-86.25,40.25,66.45805
04/29/2008,-86.25,40.75,65.91286
04/29/2008,-86.25,41.25,65.89843
04/29/2008,-86.25,41.75,66.69117
04/29/2008,-86.75,37.75,72.69737
04/29/2008,-86.75,38.25,72.32409
04/29/2008,-86.75,38.75,71.97341
04/29/2008,-86.75,39.25,71.52557
04/29/2008,-86.75,39.75,71.1228
04/29/2008,-86.75,40.25,70.30332
04/29/2008,-86.75,40.75,69.28139
04/29/2008,-86.75,41.25,68.86986
04/29/2008,-86.75,41.75,68.57525
04/29/2008,-87.25,37.75,76.89122
04/29/2008,-87.25,38.25,76.8429
04/29/2008,-87.25,38.75,76.24779
04/29/2008,-87.25,39.25,76.17192
04/29/2008,-87.25,39.75,76.05211
04/29/2008,-87.25,40.25,75.76848
04/29/2008,-87.25,40.75,75.39842
04/29/2008,-87.25,41.25,75.20824
04/29/2008,-87.25,41.75,75.00563
04/29/2008,-87.75,37.75,75.53251
